,playerID,stint,2B,3B,A,AB,BB,CS,DP,E,GIDP,H,HBP,HR,IBB,InnOuts,PB,PO,R,RBI,SB,SF,SH,SO,WP,ZR,HOF
3820,cobleda01,1.0,1.0,0.0,3.0,25.0,0.0,0.0,0.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,27.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
3821,collied02,4.0,9.0,3.0,4.0,274.0,24.0,1.0,1.0,7.0,4.0,66.0,0.0,0.0,0.0,0.0,0.0,138.0,41.0,16.0,4.0,0.0,1.0,29.0,0.0,0.0,0.0
3822,croucfr01,7.0,37.0,5.0,715.0,935.0,56.0,2.0,147.0,83.0,23.0,235.0,3.0,7.0,0.0,0.0,0.0,472.0,94.0,86.0,4.0,0.0,22.0,128.0,0.0,0.0,0.0
3823,dealli01,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
3824,earlyja01,9.0,98.0,23.0,417.0,2208.0,281.0,8.0,65.0,74.0,33.0,532.0,11.0,32.0,0.0,0.0,76.0,2566.0,216.0,264.0,7.0,0.0,18.0,259.0,0.0,0.0,0.0
3825,elliobo01,26.0,382.0,94.0,2790.0,7141.0,967.0,2.0,259.0,261.0,187.0,2061.0,16.0,170.0,0.0,0.0,0.0,2519.0,1064.0,1195.0,60.0,0.0,66.0,604.0,0.0,0.0,0.0
3826,evansal01,12.0,70.0,23.0,284.0,2053.0,243.0,9.0,51.0,56.0,53.0,514.0,7.0,13.0,0.0,0.0,57.0,2295.0,188.0,211.0,14.0,0.0,19.0,206.0,0.0,0.0,0.0
3827,flemile01,9.0,69.0,15.0,222.0,1330.0,226.0,8.0,301.0,37.0,31.0,369.0,10.0,29.0,0.0,0.0,0.0,2933.0,168.0,199.0,7.0,0.0,6.0,152.0,0.0,0.0,0.0
3828,frankhe01,7.0,18.0,2.0,64.0,403.0,57.0,0.0,11.0,9.0,11.0,80.0,3.0,3.0,0.0,0.0,5.0,537.0,35.0,43.0,2.0,0.0,10.0,37.0,0.0,0.0,0.0
3829,gabrile01,1.0,0.0,0.0,9.0,18.0,2.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,34.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
